seed,threshold_mode,group,count,mcnemar_b_group_a,mcnemar_c_group_a,exact_mcnemar_p_group_a
42,fixed_0.5,A,18,1,0,1.0
42,fixed_0.5,B,176,,,
42,fixed_0.5,C,9,,,
42,fixed_0.5,D,1,,,
43,fixed_0.5,A,10,1,0,1.0
43,fixed_0.5,B,179,,,
43,fixed_0.5,C,10,,,
43,fixed_0.5,D,5,,,
44,fixed_0.5,A,9,1,2,1.0
44,fixed_0.5,B,179,,,
44,fixed_0.5,C,13,,,
44,fixed_0.5,D,3,,,
45,fixed_0.5,A,7,0,0,1.0
45,fixed_0.5,B,183,,,
45,fixed_0.5,C,8,,,
45,fixed_0.5,D,6,,,
42,validation_selected,A,9,1,0,1.0
42,validation_selected,B,185,,,
42,validation_selected,C,5,,,
42,validation_selected,D,5,,,
43,validation_selected,A,7,4,0,0.125
43,validation_selected,B,185,,,
43,validation_selected,C,3,,,
43,validation_selected,D,9,,,
44,validation_selected,A,7,1,1,1.0
44,validation_selected,B,179,,,
44,validation_selected,C,12,,,
44,validation_selected,D,6,,,
45,validation_selected,A,15,9,0,0.00390625
45,validation_selected,B,176,,,
45,validation_selected,C,7,,,
45,validation_selected,D,6,,,
