seed,threshold_mode,student,student_threshold,group,n_cases,accuracy,sensitivity,specificity,mean_predicted_probability,mean_correctness,mean_teacher_confidence,student_teacher_disagreement
42,fixed_0.5,supervised,0.22,A,18,0.7222222222222222,0.9285714285714286,0.0,0.41648294055555557,0.7222222222222222,0.8169887111111112,0.2777777777777778
42,fixed_0.5,kd,0.4,A,18,0.7777777777777778,1.0,0.0,0.8136226755555556,0.7777777777777778,0.8169887111111112,0.2222222222222222
42,fixed_0.5,supervised,0.22,B,176,0.9829545454545454,1.0,0.9605263157894737,0.46047652658522725,0.9829545454545454,0.9218597342045455,0.017045454545454544
42,fixed_0.5,kd,0.4,B,176,0.9829545454545454,1.0,0.9605263157894737,0.6012663078295455,0.9829545454545454,0.9218597342045455,0.017045454545454544
42,fixed_0.5,supervised,0.22,C,9,0.4444444444444444,1.0,0.0,0.4695478977777778,0.4444444444444444,0.6848023333333333,0.4444444444444444
42,fixed_0.5,kd,0.4,C,9,0.4444444444444444,1.0,0.0,0.8766129977777778,0.4444444444444444,0.6848023333333333,0.4444444444444444
42,fixed_0.5,supervised,0.22,D,1,0,0.0,nan,0.024140863,0,0.79714805,0
42,fixed_0.5,kd,0.4,D,1,0,0.0,nan,0.11995944,0,0.79714805,0
43,fixed_0.5,supervised,0.18,A,10,0.6,0.8571428571428571,0.0,0.405651622,0.6,0.7977202,0.4
43,fixed_0.5,kd,0.49,A,10,0.7,1.0,0.0,0.80976589,0.7,0.7977202,0.3
43,fixed_0.5,supervised,0.18,B,179,0.9776536312849162,1.0,0.9459459459459459,0.48934414982402236,0.9776536312849162,0.9553680046368715,0.0223463687150838
43,fixed_0.5,kd,0.49,B,179,0.994413407821229,1.0,0.9864864864864865,0.5876179793407821,0.994413407821229,0.9553680046368715,0.00558659217877095
43,fixed_0.5,supervised,0.18,C,10,0.4,1.0,0.14285714285714285,0.419137563,0.4,0.750822577,0.4
43,fixed_0.5,kd,0.49,C,10,0.7,1.0,0.5714285714285714,0.678447816,0.7,0.750822577,0.7
43,fixed_0.5,supervised,0.18,D,5,0.6,0.75,0.0,0.3722543572,0.6,0.673584366,0.6
43,fixed_0.5,kd,0.49,D,5,0.6,0.75,0.0,0.639718688,0.6,0.673584366,0.6
44,fixed_0.5,supervised,0.13,A,9,0.5555555555555556,0.8333333333333334,0.0,0.43414911777777776,0.5555555555555556,0.8770664811111111,0.4444444444444444
44,fixed_0.5,kd,0.51,A,9,0.4444444444444444,0.6666666666666666,0.0,0.6954943611111111,0.4444444444444444,0.8770664811111111,0.5555555555555556
44,fixed_0.5,supervised,0.13,B,179,0.9888268156424581,1.0,0.9722222222222222,0.5286930194189944,0.9888268156424581,0.9451714210055866,0.0111731843575419
44,fixed_0.5,kd,0.51,B,179,0.994413407821229,1.0,0.9861111111111112,0.5926170701675978,0.994413407821229,0.9451714210055866,0.00558659217877095
44,fixed_0.5,supervised,0.13,C,13,0.6923076923076923,1.0,0.5,0.4418701923076923,0.6923076923076923,0.7331518207692308,0.6923076923076923
44,fixed_0.5,kd,0.51,C,13,0.6923076923076923,1.0,0.5,0.6738892507692308,0.6923076923076923,0.7331518207692308,0.6923076923076923
44,fixed_0.5,supervised,0.13,D,3,0,0.0,0.0,0.19095055,0,0.7831204133333333,0
44,fixed_0.5,kd,0.51,D,3,0,0.0,0.0,0.44432841333333334,0,0.7831204133333333,0
45,fixed_0.5,supervised,0.03,A,7,0.2857142857142857,1.0,0.0,0.6031165557142857,0.2857142857142857,0.7814628971428571,0.7142857142857143
45,fixed_0.5,kd,0.3,A,7,0.2857142857142857,1.0,0.0,0.7589514528571428,0.2857142857142857,0.7814628971428571,0.7142857142857143
45,fixed_0.5,supervised,0.03,B,183,0.9289617486338798,1.0,0.8333333333333334,0.5213571396234973,0.9289617486338798,0.9166479107103825,0.07103825136612021
45,fixed_0.5,kd,0.3,B,183,0.9781420765027322,0.9904761904761905,0.9615384615384616,0.5388160604754099,0.9781420765027322,0.9166479107103825,0.02185792349726776
