model,seed,class_index,class_name,precision,recall,f1,support
TRI_T,42,0.0,normal,0.945054945054945,0.9885057471264368,0.9662921348314606,87.0
TRI_T,42,1.0,benign,0.2857142857142857,0.18181818181818182,0.2222222222222222,22.0
TRI_T,42,2.0,malignant,0.8442622950819673,0.8728813559322034,0.8583333333333334,118.0
TRI_T,42,-1,macro,0.6916771752837326,0.681068428292274,0.6822825634623387,227.0
TRI_S0,42,0.0,normal,0.9047619047619048,0.8735632183908046,0.8888888888888888,87.0
TRI_S0,42,1.0,benign,0.13333333333333333,0.5454545454545454,0.2142857142857143,22.0
TRI_S0,42,2.0,malignant,0.8490566037735849,0.3813559322033898,0.5263157894736842,118.0
TRI_S0,42,-1,macro,0.6290506139562744,0.6001245653495799,0.5431634642160957,227.0
TRI_SKD,42,0.0,normal,0.8383838383838383,0.9540229885057471,0.8924731182795698,87.0
TRI_SKD,42,1.0,benign,0.18032786885245902,0.5,0.26506024096385544,22.0
TRI_SKD,42,2.0,malignant,0.8507462686567164,0.4830508474576271,0.6162162162162161,118.0
TRI_SKD,42,-1,macro,0.6231526586310046,0.6456912786544581,0.5912498584865471,227.0
TRI_T,43,0.0,normal,0.9347826086956522,0.9885057471264368,0.9608938547486033,87.0
TRI_T,43,1.0,benign,0.2,0.09090909090909091,0.12500000000000003,22.0
TRI_T,43,2.0,malignant,0.832,0.8813559322033898,0.8559670781893003,118.0
TRI_T,43,-1,macro,0.6555942028985507,0.6535902567463059,0.6472869776459679,227.0
TRI_S0,43,0.0,normal,0.9259259259259259,0.8620689655172413,0.8928571428571429,87.0
TRI_S0,43,1.0,benign,0.1523809523809524,0.7272727272727273,0.25196850393700787,22.0
TRI_S0,43,2.0,malignant,0.8292682926829268,0.288135593220339,0.4276729559748428,118.0
TRI_S0,43,-1,macro,0.6358583903299351,0.6258257620034359,0.5241662009229978,227.0
TRI_SKD,43,0.0,normal,0.9111111111111111,0.9425287356321839,0.9265536723163842,87.0
TRI_SKD,43,1.0,benign,0.18181818181818182,0.7272727272727273,0.2909090909090909,22.0
TRI_SKD,43,2.0,malignant,0.8775510204081632,0.3644067796610169,0.5149700598802395,118.0
TRI_SKD,43,-1,macro,0.6568267711124853,0.6780694141886427,0.5774776077019048,227.0
TRI_T,44,0.0,normal,0.9764705882352941,0.9540229885057471,0.9651162790697674,87.0
TRI_T,44,1.0,benign,0.35294117647058826,0.2727272727272727,0.30769230769230765,22.0
TRI_T,44,2.0,malignant,0.84,0.8898305084745762,0.8641975308641976,118.0
TRI_T,44,-1,macro,0.7231372549019608,0.7055269232358653,0.7123353725420909,227.0
TRI_S0,44,0.0,normal,0.8494623655913979,0.9080459770114943,0.8777777777777779,87.0
TRI_S0,44,1.0,benign,0.18556701030927836,0.8181818181818182,0.3025210084033614,22.0
TRI_S0,44,2.0,malignant,0.8918918918918919,0.2796610169491525,0.4258064516129032,118.0
TRI_S0,44,-1,macro,0.6423070892641893,0.6686296040474884,0.5353684125980142,227.0
TRI_SKD,44,0.0,normal,0.9,0.9310344827586207,0.9152542372881356,87.0
TRI_SKD,44,1.0,benign,0.16483516483516483,0.6818181818181818,0.2654867256637168,22.0
TRI_SKD,44,2.0,malignant,0.8695652173913043,0.3389830508474576,0.4878048780487805,118.0
TRI_SKD,44,-1,macro,0.6448001274088231,0.65061190514142,0.556181947000211,227.0
TRI_T,45,0.0,normal,0.9761904761904762,0.9425287356321839,0.95906432748538,87.0
TRI_T,45,1.0,benign,0.4166666666666667,0.22727272727272727,0.29411764705882354,22.0
TRI_T,45,2.0,malignant,0.8320610687022901,0.923728813559322,0.8755020080321285,118.0
TRI_T,45,-1,macro,0.7416394038531443,0.6978434254880778,0.709561327525444,227.0
TRI_S0,45,0.0,normal,0.8367346938775511,0.9425287356321839,0.8864864864864864,87.0
TRI_S0,45,1.0,benign,0.15384615384615385,0.5454545454545454,0.24000000000000002,22.0
TRI_S0,45,2.0,malignant,0.8431372549019608,0.3644067796610169,0.5088757396449703,118.0
TRI_S0,45,-1,macro,0.6112393675418886,0.6174633535825821,0.5451207420438189,227.0
TRI_SKD,45,0.0,normal,0.9058823529411765,0.8850574712643678,0.8953488372093024,87.0
TRI_SKD,45,1.0,benign,0.14285714285714285,0.7727272727272727,0.24113475177304966,22.0
TRI_SKD,45,2.0,malignant,0.8260869565217391,0.16101694915254236,0.2695035460992908,118.0
TRI_SKD,45,-1,macro,0.6249421507733528,0.606267231048061,0.4686623783605476,227.0
