model,seed,true_class_index,true_class,predicted_class_index,predicted_class,value
TRI_T,-1,0,normal,0,normal,0.9683908045977011
TRI_T,-1,0,normal,1,benign,0.0
TRI_T,-1,0,normal,2,malignant,0.031609195402298854
TRI_T,-1,1,benign,0,normal,0.0
TRI_T,-1,1,benign,1,benign,0.19318181818181818
TRI_T,-1,1,benign,2,malignant,0.8068181818181819
TRI_T,-1,2,malignant,0,normal,0.03177966101694915
TRI_T,-1,2,malignant,1,benign,0.07627118644067797
TRI_T,-1,2,malignant,2,malignant,0.8919491525423728
TRI_S0,-1,0,normal,0,normal,0.896551724137931
TRI_S0,-1,0,normal,1,benign,0.08908045977011494
TRI_S0,-1,0,normal,2,malignant,0.014367816091954023
TRI_S0,-1,1,benign,0,normal,0.09090909090909091
TRI_S0,-1,1,benign,1,benign,0.6590909090909091
TRI_S0,-1,1,benign,2,malignant,0.25
TRI_S0,-1,2,malignant,0,normal,0.07627118644067796
TRI_S0,-1,2,malignant,1,benign,0.5953389830508475
TRI_S0,-1,2,malignant,2,malignant,0.3283898305084746
TRI_SKD,-1,0,normal,0,normal,0.9281609195402298
TRI_SKD,-1,0,normal,1,benign,0.06321839080459771
TRI_SKD,-1,0,normal,2,malignant,0.008620689655172414
TRI_SKD,-1,1,benign,0,normal,0.06818181818181818
TRI_SKD,-1,1,benign,1,benign,0.6704545454545454
TRI_SKD,-1,1,benign,2,malignant,0.26136363636363635
TRI_SKD,-1,2,malignant,0,normal,0.07415254237288135
TRI_SKD,-1,2,malignant,1,benign,0.5889830508474576
TRI_SKD,-1,2,malignant,2,malignant,0.336864406779661
