model,seed,true_class_index,true_class,predicted_class_index,predicted_class,value
TRI_T,42,0,normal,0,normal,0.9885057471264368
TRI_T,42,0,normal,1,benign,0.0
TRI_T,42,0,normal,2,malignant,0.011494252873563218
TRI_T,42,1,benign,0,normal,0.0
TRI_T,42,1,benign,1,benign,0.18181818181818182
TRI_T,42,1,benign,2,malignant,0.8181818181818182
TRI_T,42,2,malignant,0,normal,0.0423728813559322
TRI_T,42,2,malignant,1,benign,0.0847457627118644
TRI_T,42,2,malignant,2,malignant,0.8728813559322034
TRI_S0,42,0,normal,0,normal,0.8735632183908046
TRI_S0,42,0,normal,1,benign,0.11494252873563218
TRI_S0,42,0,normal,2,malignant,0.011494252873563218
TRI_S0,42,1,benign,0,normal,0.13636363636363635
TRI_S0,42,1,benign,1,benign,0.5454545454545454
TRI_S0,42,1,benign,2,malignant,0.3181818181818182
TRI_S0,42,2,malignant,0,normal,0.0423728813559322
TRI_S0,42,2,malignant,1,benign,0.576271186440678
TRI_S0,42,2,malignant,2,malignant,0.3813559322033898
TRI_SKD,42,0,normal,0,normal,0.9540229885057471
TRI_SKD,42,0,normal,1,benign,0.022988505747126436
TRI_SKD,42,0,normal,2,malignant,0.022988505747126436
TRI_SKD,42,1,benign,0,normal,0.13636363636363635
TRI_SKD,42,1,benign,1,benign,0.5
TRI_SKD,42,1,benign,2,malignant,0.36363636363636365
TRI_SKD,42,2,malignant,0,normal,0.11016949152542373
TRI_SKD,42,2,malignant,1,benign,0.4067796610169492
TRI_SKD,42,2,malignant,2,malignant,0.4830508474576271
TRI_T,43,0,normal,0,normal,0.9885057471264368
TRI_T,43,0,normal,1,benign,0.0
TRI_T,43,0,normal,2,malignant,0.011494252873563218
TRI_T,43,1,benign,0,normal,0.0
TRI_T,43,1,benign,1,benign,0.09090909090909091
TRI_T,43,1,benign,2,malignant,0.9090909090909091
TRI_T,43,2,malignant,0,normal,0.05084745762711865
TRI_T,43,2,malignant,1,benign,0.06779661016949153
TRI_T,43,2,malignant,2,malignant,0.8813559322033898
TRI_S0,43,0,normal,0,normal,0.8620689655172413
TRI_S0,43,0,normal,1,benign,0.11494252873563218
TRI_S0,43,0,normal,2,malignant,0.022988505747126436
TRI_S0,43,1,benign,0,normal,0.045454545454545456
TRI_S0,43,1,benign,1,benign,0.7272727272727273
TRI_S0,43,1,benign,2,malignant,0.22727272727272727
TRI_S0,43,2,malignant,0,normal,0.0423728813559322
TRI_S0,43,2,malignant,1,benign,0.6694915254237288
TRI_S0,43,2,malignant,2,malignant,0.288135593220339
TRI_SKD,43,0,normal,0,normal,0.9425287356321839
TRI_SKD,43,0,normal,1,benign,0.04597701149425287
TRI_SKD,43,0,normal,2,malignant,0.011494252873563218
TRI_SKD,43,1,benign,0,normal,0.045454545454545456
TRI_SKD,43,1,benign,1,benign,0.7272727272727273
TRI_SKD,43,1,benign,2,malignant,0.22727272727272727
TRI_SKD,43,2,malignant,0,normal,0.059322033898305086
TRI_SKD,43,2,malignant,1,benign,0.576271186440678
TRI_SKD,43,2,malignant,2,malignant,0.3644067796610169
TRI_T,44,0,normal,0,normal,0.9540229885057471
TRI_T,44,0,normal,1,benign,0.0
TRI_T,44,0,normal,2,malignant,0.04597701149425287
TRI_T,44,1,benign,0,normal,0.0
TRI_T,44,1,benign,1,benign,0.2727272727272727
TRI_T,44,1,benign,2,malignant,0.7272727272727273
TRI_T,44,2,malignant,0,normal,0.01694915254237288
TRI_T,44,2,malignant,1,benign,0.09322033898305085
TRI_T,44,2,malignant,2,malignant,0.8898305084745762
TRI_S0,44,0,normal,0,normal,0.9080459770114943
TRI_S0,44,0,normal,1,benign,0.08045977011494253
TRI_S0,44,0,normal,2,malignant,0.011494252873563218
TRI_S0,44,1,benign,0,normal,0.045454545454545456
TRI_S0,44,1,benign,1,benign,0.8181818181818182
TRI_S0,44,1,benign,2,malignant,0.13636363636363635
TRI_S0,44,2,malignant,0,normal,0.11016949152542373
TRI_S0,44,2,malignant,1,benign,0.6101694915254238
TRI_S0,44,2,malignant,2,malignant,0.2796610169491525
TRI_SKD,44,0,normal,0,normal,0.9310344827586207
TRI_SKD,44,0,normal,1,benign,0.06896551724137931
TRI_SKD,44,0,normal,2,malignant,0.0
TRI_SKD,44,1,benign,0,normal,0.045454545454545456
TRI_SKD,44,1,benign,1,benign,0.6818181818181818
TRI_SKD,44,1,benign,2,malignant,0.2727272727272727
TRI_SKD,44,2,malignant,0,normal,0.06779661016949153
TRI_SKD,44,2,malignant,1,benign,0.5932203389830508
TRI_SKD,44,2,malignant,2,malignant,0.3389830508474576
TRI_T,45,0,normal,0,normal,0.9425287356321839
TRI_T,45,0,normal,1,benign,0.0
TRI_T,45,0,normal,2,malignant,0.05747126436781609
TRI_T,45,1,benign,0,normal,0.0
TRI_T,45,1,benign,1,benign,0.22727272727272727
TRI_T,45,1,benign,2,malignant,0.7727272727272727
TRI_T,45,2,malignant,0,normal,0.01694915254237288
TRI_T,45,2,malignant,1,benign,0.059322033898305086
TRI_T,45,2,malignant,2,malignant,0.923728813559322
TRI_S0,45,0,normal,0,normal,0.9425287356321839
TRI_S0,45,0,normal,1,benign,0.04597701149425287
TRI_S0,45,0,normal,2,malignant,0.011494252873563218
TRI_S0,45,1,benign,0,normal,0.13636363636363635
TRI_S0,45,1,benign,1,benign,0.5454545454545454
TRI_S0,45,1,benign,2,malignant,0.3181818181818182
TRI_S0,45,2,malignant,0,normal,0.11016949152542373
TRI_S0,45,2,malignant,1,benign,0.5254237288135594
TRI_S0,45,2,malignant,2,malignant,0.3644067796610169
TRI_SKD,45,0,normal,0,normal,0.8850574712643678
TRI_SKD,45,0,normal,1,benign,0.11494252873563218
TRI_SKD,45,0,normal,2,malignant,0.0
TRI_SKD,45,1,benign,0,normal,0.045454545454545456
TRI_SKD,45,1,benign,1,benign,0.7727272727272727
TRI_SKD,45,1,benign,2,malignant,0.18181818181818182
TRI_SKD,45,2,malignant,0,normal,0.059322033898305086
TRI_SKD,45,2,malignant,1,benign,0.7796610169491526
TRI_SKD,45,2,malignant,2,malignant,0.16101694915254236
