model,seed,true_class_index,true_class,predicted_class_index,predicted_class,value
TRI_T,42,0,normal,0,normal,86
TRI_T,42,0,normal,1,benign,0
TRI_T,42,0,normal,2,malignant,1
TRI_T,42,1,benign,0,normal,0
TRI_T,42,1,benign,1,benign,4
TRI_T,42,1,benign,2,malignant,18
TRI_T,42,2,malignant,0,normal,5
TRI_T,42,2,malignant,1,benign,10
TRI_T,42,2,malignant,2,malignant,103
TRI_S0,42,0,normal,0,normal,76
TRI_S0,42,0,normal,1,benign,10
TRI_S0,42,0,normal,2,malignant,1
TRI_S0,42,1,benign,0,normal,3
TRI_S0,42,1,benign,1,benign,12
TRI_S0,42,1,benign,2,malignant,7
TRI_S0,42,2,malignant,0,normal,5
TRI_S0,42,2,malignant,1,benign,68
TRI_S0,42,2,malignant,2,malignant,45
TRI_SKD,42,0,normal,0,normal,83
TRI_SKD,42,0,normal,1,benign,2
TRI_SKD,42,0,normal,2,malignant,2
TRI_SKD,42,1,benign,0,normal,3
TRI_SKD,42,1,benign,1,benign,11
TRI_SKD,42,1,benign,2,malignant,8
TRI_SKD,42,2,malignant,0,normal,13
TRI_SKD,42,2,malignant,1,benign,48
TRI_SKD,42,2,malignant,2,malignant,57
TRI_T,43,0,normal,0,normal,86
TRI_T,43,0,normal,1,benign,0
TRI_T,43,0,normal,2,malignant,1
TRI_T,43,1,benign,0,normal,0
TRI_T,43,1,benign,1,benign,2
TRI_T,43,1,benign,2,malignant,20
TRI_T,43,2,malignant,0,normal,6
TRI_T,43,2,malignant,1,benign,8
TRI_T,43,2,malignant,2,malignant,104
TRI_S0,43,0,normal,0,normal,75
TRI_S0,43,0,normal,1,benign,10
TRI_S0,43,0,normal,2,malignant,2
TRI_S0,43,1,benign,0,normal,1
TRI_S0,43,1,benign,1,benign,16
TRI_S0,43,1,benign,2,malignant,5
TRI_S0,43,2,malignant,0,normal,5
TRI_S0,43,2,malignant,1,benign,79
TRI_S0,43,2,malignant,2,malignant,34
TRI_SKD,43,0,normal,0,normal,82
TRI_SKD,43,0,normal,1,benign,4
TRI_SKD,43,0,normal,2,malignant,1
TRI_SKD,43,1,benign,0,normal,1
TRI_SKD,43,1,benign,1,benign,16
TRI_SKD,43,1,benign,2,malignant,5
TRI_SKD,43,2,malignant,0,normal,7
TRI_SKD,43,2,malignant,1,benign,68
TRI_SKD,43,2,malignant,2,malignant,43
TRI_T,44,0,normal,0,normal,83
TRI_T,44,0,normal,1,benign,0
TRI_T,44,0,normal,2,malignant,4
TRI_T,44,1,benign,0,normal,0
TRI_T,44,1,benign,1,benign,6
TRI_T,44,1,benign,2,malignant,16
TRI_T,44,2,malignant,0,normal,2
TRI_T,44,2,malignant,1,benign,11
TRI_T,44,2,malignant,2,malignant,105
TRI_S0,44,0,normal,0,normal,79
TRI_S0,44,0,normal,1,benign,7
TRI_S0,44,0,normal,2,malignant,1
TRI_S0,44,1,benign,0,normal,1
TRI_S0,44,1,benign,1,benign,18
TRI_S0,44,1,benign,2,malignant,3
TRI_S0,44,2,malignant,0,normal,13
TRI_S0,44,2,malignant,1,benign,72
TRI_S0,44,2,malignant,2,malignant,33
TRI_SKD,44,0,normal,0,normal,81
TRI_SKD,44,0,normal,1,benign,6
TRI_SKD,44,0,normal,2,malignant,0
TRI_SKD,44,1,benign,0,normal,1
TRI_SKD,44,1,benign,1,benign,15
TRI_SKD,44,1,benign,2,malignant,6
TRI_SKD,44,2,malignant,0,normal,8
TRI_SKD,44,2,malignant,1,benign,70
TRI_SKD,44,2,malignant,2,malignant,40
TRI_T,45,0,normal,0,normal,82
TRI_T,45,0,normal,1,benign,0
TRI_T,45,0,normal,2,malignant,5
TRI_T,45,1,benign,0,normal,0
TRI_T,45,1,benign,1,benign,5
TRI_T,45,1,benign,2,malignant,17
TRI_T,45,2,malignant,0,normal,2
TRI_T,45,2,malignant,1,benign,7
TRI_T,45,2,malignant,2,malignant,109
TRI_S0,45,0,normal,0,normal,82
TRI_S0,45,0,normal,1,benign,4
TRI_S0,45,0,normal,2,malignant,1
TRI_S0,45,1,benign,0,normal,3
TRI_S0,45,1,benign,1,benign,12
TRI_S0,45,1,benign,2,malignant,7
TRI_S0,45,2,malignant,0,normal,13
TRI_S0,45,2,malignant,1,benign,62
TRI_S0,45,2,malignant,2,malignant,43
TRI_SKD,45,0,normal,0,normal,77
TRI_SKD,45,0,normal,1,benign,10
TRI_SKD,45,0,normal,2,malignant,0
TRI_SKD,45,1,benign,0,normal,1
TRI_SKD,45,1,benign,1,benign,17
TRI_SKD,45,1,benign,2,malignant,4
TRI_SKD,45,2,malignant,0,normal,7
TRI_SKD,45,2,malignant,1,benign,92
TRI_SKD,45,2,malignant,2,malignant,19
