model,seed,true_class_index,true_class,predicted_class_index,predicted_class,value
TRI_T,-1,0,normal,0,normal,0.02369600934263027
TRI_T,-1,0,normal,1,benign,0.0
TRI_T,-1,0,normal,2,malignant,0.023696009342630234
TRI_T,-1,1,benign,0,normal,0.0
TRI_T,-1,1,benign,1,benign,0.07762841489363331
TRI_T,-1,1,benign,2,malignant,0.07762841489363331
TRI_T,-1,2,malignant,0,normal,0.017470786549227377
TRI_T,-1,2,malignant,1,benign,0.015472388630089437
TRI_T,-1,2,malignant,2,malignant,0.022287759658276122
TRI_S0,-1,0,normal,0,normal,0.036348019082395155
TRI_S0,-1,0,normal,1,benign,0.03301472785366683
TRI_S0,-1,0,normal,2,malignant,0.005747126436781609
TRI_S0,-1,1,benign,0,normal,0.05248638810814779
TRI_S0,-1,1,benign,1,benign,0.1363636363636364
TRI_S0,-1,1,benign,2,malignant,0.08703882797784893
TRI_S0,-1,2,malignant,0,normal,0.03914239113150005
TRI_S0,-1,2,malignant,1,benign,0.06047111477007808
TRI_S0,-1,2,malignant,2,malignant,0.051953599315676606
TRI_SKD,-1,0,normal,0,normal,0.030229375168696324
TRI_SKD,-1,0,normal,1,benign,0.03926034776229731
TRI_SKD,-1,0,normal,2,malignant,0.01100490928455561
TRI_SKD,-1,1,benign,0,normal,0.04545454545454545
TRI_SKD,-1,1,benign,1,benign,0.11954343816711742
TRI_SKD,-1,1,benign,2,malignant,0.07762841489363333
TRI_SKD,-1,2,malignant,0,normal,0.02434136714634758
TRI_SKD,-1,2,malignant,1,benign,0.15246388438998457
TRI_SKD,-1,2,malignant,2,malignant,0.13298605785148487
